Wavelength, Output Power, 
1.4207158088684082, 6, 30, 28, 77, 
1.5597634315490723, 13, 40, 8, 17, 
1.7149581909179688, 6, 22, 23, 16, 
1.8370521068572998, 5, 37, 50, 54, 
1.9653618335723877, 10, 7, 35, 72, 
2.054171323776245, 10, 7, 56, 69, 
2.1392290592193604, 16, 8, 53, 29, 
2.2399022579193115, 10, 34, 14, 54, 
2.3291609287261963, 3, 19, 12, 31, 
2.425395965576172, 16, 40, 17, 16, 
2.518902540206909, 2, 40, 26, 77, 
2.6094462871551514, 9, 10, 27, 58, 
2.7030868530273438, 11, 2, 17, 69, 
2.7980620861053467, 16, 15, 38, 23, 
2.890078067779541, 14, 13, 20, 60, 
2.9828333854675293, 8, 28, 37, 3, 
3.076160192489624, 14, 38, 27, 26, 
3.170051097869873, 14, 6, 18, 26, 
3.265892744064331, 8, 16, 35, 57, 
3.361409902572632, 1, 38, 1, 28, 
3.4632184505462646, 14, 21, 3, 8, 
3.5794777870178223, 2, 38, 1, 26, 
3.676074266433716, 6, 10, 25, 39, 
3.8057854175567627, 16, 21, 36, 56, 
3.8989622592926025, 11, 5, 17, 33, 
4.0240561962127686, 1, 1, 58, 70, 
4.150041580200195, 10, 29, 42, 51, 
4.266212224960327, 20, 4, 48, 9, 
